mode,model,pred_len,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std
test,MPGAT,3,90702.1640625,9256.679050421488,300.7995910644531,15.146537731465031,108.14944458007812,2.5232083773324345
train,MPGAT,3,2020.11328125,75.37739356634123,44.93791198730469,0.8492854565416876,16.502578735351562,0.16221985617930706
validate,MPGAT,3,9874.5966796875,832.246521958908,99.28842163085938,4.119758209538666,46.53989791870117,1.5005236808177589
test,deep_learning,3,151592252.50277218,95965951.93415217,11690.019297695098,3930.7410886263656,4007.2340249253484,1373.25978237547
train,deep_learning,3,5033416.6021322,4660819.881483397,2059.8512211421757,904.2597747507992,727.766628210413,330.7990901768946
validate,deep_learning,3,31023660.394797318,31163357.165266488,5098.492101661645,2280.888820422592,1873.981954982565,866.3407167023797
test,C_ij,3,80432.4296875,38975.81005912222,277.05218505859375,61.6539790093319,103.37828063964844,11.95329204217328
train,C_ij,3,2729.351806640625,1342.814875833287,51.19196319580078,10.605856486943342,18.69634246826172,4.143557822985251
validate,C_ij,3,18710.19140625,14220.926610926683,130.89797973632812,40.376356840609645,65.32550811767578,20.77032408439277
test,compartment,3,785751.0625,,886.426025390625,,310.41583251953125,
train,compartment,3,20907.98828125,,144.595947265625,,47.03655242919922,
validate,compartment,3,229667.84375,,479.2367248535156,,190.6348114013672,
